127.0.0.1 - - [30/May/2017:18:51:32 +0200] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:35 +0200] "GET /cardioSHARE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:35 +0200] "GET /cardioSHARE/style/jquery.autocomplete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:35 +0200] "GET /cardioSHARE/style/cardioSHARE.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:35 +0200] "GET /cardioSHARE/style/jquery.sparqlassist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:36 +0200] "GET /cardioSHARE/js/jquery.caret.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:36 +0200] "GET /cardioSHARE/js/jquery.autocomplete.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:36 +0200] "GET /cardioSHARE/js/jquery.sparqlassist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:36 +0200] "GET /cardioSHARE/js/queryForm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:36 +0200] "GET /cardioSHARE/js/doAssist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:36 +0200] "GET /cardioSHARE/images/CANARIE.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:36 +0200] "GET /cardioSHARE/images/CIHR.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:36 +0200] "GET /cardioSHARE/images/HSFBCY.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:36 +0200] "GET /cardioSHARE/images/GenomeCanada.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:36 +0200] "GET /cardioSHARE/images/GenomeAlberta.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:37 +0200] "GET /cardioSHARE/resources/LSRN.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:37 +0200] "GET /cardioSHARE/resources/props.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:37 +0200] "GET /cardioSHARE/style/images/bgtop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:37 +0200] "GET /cardioSHARE/style/images/bgbottom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:37 +0200] "GET /cardioSHARE/style/images/bgedge.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:37 +0200] "GET /cardioSHARE/style/images/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:51:37 +0200] "GET /cardioSHARE/style/images/welcome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2017:18:52:42 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [30/May/2017:18:52:42 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/May/2017:18:52:47 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [30/May/2017:18:52:52 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [30/May/2017:18:52:57 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [30/May/2017:18:53:02 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [30/May/2017:18:53:08 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [30/May/2017:18:57:20 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [30/May/2017:18:57:20 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/May/2017:18:57:25 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/May/2017:18:57:31 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/May/2017:18:57:36 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 224
