127.0.0.1 - - [10/Oct/2017:13:03:43 +0200] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:04:00 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:04:00 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:04:05 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:04:10 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:04:15 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:04:20 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:04:26 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:05:28 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:05:28 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:05:33 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:05:38 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:21:29 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:21:29 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:21:34 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:21:39 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:24:24 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:24:24 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:24:29 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:24:34 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:28:17 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:28:18 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
