127.0.0.1 - - [19/Nov/2017:20:37:52 +0100] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:53 +0100] "GET /cardioSHARE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:53 +0100] "GET /cardioSHARE/style/jquery.autocomplete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:53 +0100] "GET /cardioSHARE/style/cardioSHARE.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:53 +0100] "GET /cardioSHARE/style/jquery.sparqlassist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:54 +0100] "GET /cardioSHARE/js/jquery.caret.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:54 +0100] "GET /cardioSHARE/js/jquery.autocomplete.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:54 +0100] "GET /cardioSHARE/js/queryForm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:54 +0100] "GET /cardioSHARE/js/doAssist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:54 +0100] "GET /cardioSHARE/js/jquery.sparqlassist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:54 +0100] "GET /cardioSHARE/images/HSFBCY.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:54 +0100] "GET /cardioSHARE/images/CANARIE.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:54 +0100] "GET /cardioSHARE/images/GenomeCanada.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:54 +0100] "GET /cardioSHARE/images/CIHR.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:54 +0100] "GET /cardioSHARE/images/GenomeAlberta.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:54 +0100] "GET /cardioSHARE/resources/LSRN.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:54 +0100] "GET /cardioSHARE/resources/props.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:54 +0100] "GET /cardioSHARE/style/images/bgtop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:54 +0100] "GET /cardioSHARE/style/images/bgbottom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:55 +0100] "GET /cardioSHARE/style/images/bgedge.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:55 +0100] "GET /cardioSHARE/style/images/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:20:37:55 +0100] "GET /cardioSHARE/style/images/welcome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:51:08 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:51:08 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:51:13 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:51:18 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:51:23 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:51:28 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:51:34 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:52:34 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:52:34 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:52:39 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:52:45 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:52:50 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:54:36 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:54:36 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:54:41 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:54:46 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:57:20 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:57:20 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:57:25 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:57:30 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:57:43 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:57:43 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:57:48 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 3970
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:58:07 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:58:07 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:58:12 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:21:58:17 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:05:00 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:05:00 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:05:05 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:05:10 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:05:15 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:05:20 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:05:48 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:05:49 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:05:54 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:05:59 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:06:04 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:06:55 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:06:55 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:07:00 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:07:05 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:07:10 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:17:09 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:17:09 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:17:14 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:17:19 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:17:24 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Nov/2017:22:17:30 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 224
