127.0.0.1 - - [21/May/2018:13:06:37 +0200] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:38 +0200] "GET /cardioSHARE/ HTTP/1.1" 200 7615
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:38 +0200] "GET /cardioSHARE/style/jquery.autocomplete.css HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:38 +0200] "GET /cardioSHARE/style/cardioSHARE.css HTTP/1.1" 200 3133
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:38 +0200] "GET /cardioSHARE/style/jquery.sparqlassist.css HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:38 +0200] "GET /cardioSHARE/js/jquery.caret.js HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:38 +0200] "GET /cardioSHARE/js/jquery.autocomplete.js HTTP/1.1" 200 21182
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:38 +0200] "GET /cardioSHARE/js/jquery.sparqlassist.js HTTP/1.1" 200 17947
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:38 +0200] "GET /cardioSHARE/js/doAssist.js HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:38 +0200] "GET /cardioSHARE/js/queryForm.js HTTP/1.1" 200 4820
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:38 +0200] "GET /cardioSHARE/images/HSFBCY.gif HTTP/1.1" 200 2925
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:38 +0200] "GET /cardioSHARE/images/CANARIE.png HTTP/1.1" 200 12895
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:38 +0200] "GET /cardioSHARE/images/CIHR.png HTTP/1.1" 200 4345
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:38 +0200] "GET /cardioSHARE/images/GenomeCanada.png HTTP/1.1" 200 17837
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:38 +0200] "GET /cardioSHARE/images/GenomeAlberta.png HTTP/1.1" 200 18020
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:41 +0200] "GET /cardioSHARE/resources/props.json HTTP/1.1" 200 9214
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:41 +0200] "GET /cardioSHARE/resources/LSRN.json HTTP/1.1" 200 26711
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:41 +0200] "GET /cardioSHARE/style/images/bgtop.png HTTP/1.1" 200 18135
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:41 +0200] "GET /cardioSHARE/style/images/bgbottom.png HTTP/1.1" 200 10072
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:41 +0200] "GET /cardioSHARE/style/images/header.png HTTP/1.1" 200 10298
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:41 +0200] "GET /cardioSHARE/style/images/bgedge.png HTTP/1.1" 200 2180
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:41 +0200] "GET /cardioSHARE/style/images/welcome.png HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [21/May/2018:13:07:29 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:13:07:29 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:07:34 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [21/May/2018:13:07:39 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [21/May/2018:13:07:44 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [21/May/2018:13:07:49 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [21/May/2018:13:07:54 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [21/May/2018:13:09:06 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:13:09:06 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:09:11 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [21/May/2018:13:09:16 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [21/May/2018:13:09:22 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [21/May/2018:13:09:27 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [21/May/2018:13:10:20 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:13:10:20 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:10:25 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:10:30 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:10:35 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [21/May/2018:13:13:27 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:13:13:27 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:13:32 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:13:37 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:13:42 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:13:47 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [21/May/2018:13:18:03 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:13:18:03 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:18:08 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:18:13 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:18:18 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:18:23 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:18:28 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:18:33 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:18:38 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:18:43 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:18:48 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:18:54 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:18:59 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:19:04 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:39 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:39 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:44 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:50 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:55 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:21:00 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:21:05 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:21:10 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:21:15 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:21:20 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:21:26 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [21/May/2018:13:23:32 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:13:23:32 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:23:37 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:23:42 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:23:47 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:23:52 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [21/May/2018:13:27:06 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:13:27:06 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:27:11 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:27:16 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:27:21 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:27:26 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:27:31 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:27:36 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:27:41 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:27:47 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [21/May/2018:13:32:56 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:13:32:56 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:33:01 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:33:06 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:33:11 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:33:16 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:33:22 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [21/May/2018:13:50:23 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:13:50:23 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:50:28 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:50:33 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:50:38 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:50:43 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:50:48 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:50:53 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:50:58 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:51:04 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:51:09 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [21/May/2018:13:53:42 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:13:53:42 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:53:47 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:53:52 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:53:57 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
